name, method, class, x, y
leaf,i,0,1.0,1.0
leaf,i,0,0.094512195122,0.5
leaf,i,0,0.0914634146341,0.5
leaf,i,0,0.0884146341463,0.5
leaf,i,0,0.0823170731707,0.5
leaf,i,0,0.0762195121951,0.5
leaf,i,0,0.0762195121951,0.416666666667
leaf,i,0,0.0762195121951,0.333333333333
leaf,i,0,0.0762195121951,0.25
leaf,i,0,0.0701219512195,0.25
leaf,i,0,0.0670731707317,0.25
leaf,i,0,0.0640243902439,0.25
leaf,i,0,0.0609756097561,0.25
leaf,i,0,0.0579268292683,0.25
leaf,i,0,0.0548780487805,0.25
leaf,i,0,0.0518292682927,0.25
leaf,i,0,0.0426829268293,0.25
leaf,i,0,0.0396341463415,0.25
leaf,i,0,0.0365853658537,0.25
leaf,i,0,0.0335365853659,0.25
leaf,i,0,0.030487804878,0.25
leaf,i,0,0.0274390243902,0.25
leaf,i,0,0.0243902439024,0.25
leaf,i,0,0.0182926829268,0.25
leaf,i,0,0.0121951219512,0.25
leaf,i,0,0.00914634146341,0.25
leaf,i,0,0.00609756097561,0.25
leaf,i,0,0.00609756097561,0.166666666667
leaf,i,0,0.00609756097561,0.0833333333333
leaf,i,0,0.0030487804878,0.0833333333333
leaf,i,0,0.0030487804878,0.0
leaf,i,1,1.0,1.0
leaf,i,1,0.106060606061,0.2
leaf,i,1,0.10303030303,0.2
leaf,i,1,0.1,0.2
leaf,i,1,0.0939393939394,0.2
leaf,i,1,0.0878787878788,0.2
leaf,i,1,0.0848484848485,0.2
leaf,i,1,0.0818181818182,0.2
leaf,i,1,0.0787878787879,0.2
leaf,i,1,0.0727272727273,0.2
leaf,i,1,0.069696969697,0.2
leaf,i,1,0.0666666666667,0.2
leaf,i,1,0.0636363636364,0.2
leaf,i,1,0.0606060606061,0.2
leaf,i,1,0.0575757575758,0.2
leaf,i,1,0.0545454545455,0.2
leaf,i,1,0.0454545454545,0.2
leaf,i,1,0.0424242424242,0.2
leaf,i,1,0.0393939393939,0.2
leaf,i,1,0.0363636363636,0.2
leaf,i,1,0.0363636363636,0.1
leaf,i,1,0.0333333333333,0.1
leaf,i,1,0.030303030303,0.1
leaf,i,1,0.0242424242424,0.1
leaf,i,1,0.0181818181818,0.1
leaf,i,1,0.0151515151515,0.1
leaf,i,1,0.0151515151515,0.0
leaf,i,1,0.0121212121212,0.0
leaf,i,1,0.00909090909091,0.0
leaf,i,1,0.00606060606061,0.0
leaf,i,1,0.0030303030303,0.0
leaf,i,2,1.0,1.0
leaf,i,2,0.106060606061,0.2
leaf,i,2,0.10303030303,0.2
leaf,i,2,0.1,0.2
leaf,i,2,0.0969696969697,0.1
leaf,i,2,0.0909090909091,0.1
leaf,i,2,0.0878787878788,0.1
leaf,i,2,0.0848484848485,0.1
leaf,i,2,0.0818181818182,0.1
leaf,i,2,0.0757575757576,0.1
leaf,i,2,0.0727272727273,0.1
leaf,i,2,0.069696969697,0.1
leaf,i,2,0.0666666666667,0.1
leaf,i,2,0.0666666666667,0.0
leaf,i,2,0.0636363636364,0.0
leaf,i,2,0.0606060606061,0.0
leaf,i,2,0.0515151515152,0.0
leaf,i,2,0.0484848484848,0.0
leaf,i,2,0.0454545454545,0.0
leaf,i,2,0.0424242424242,0.0
leaf,i,2,0.0393939393939,0.0
leaf,i,2,0.0363636363636,0.0
leaf,i,2,0.0333333333333,0.0
leaf,i,2,0.0272727272727,0.0
leaf,i,2,0.0212121212121,0.0
leaf,i,2,0.0181818181818,0.0
leaf,i,2,0.0151515151515,0.0
leaf,i,2,0.0121212121212,0.0
leaf,i,2,0.00909090909091,0.0
leaf,i,2,0.00606060606061,0.0
leaf,i,2,0.0030303030303,0.0
leaf,i,3,1.0,1.0
leaf,i,3,0.105421686747,0.25
leaf,i,3,0.102409638554,0.25
leaf,i,3,0.0993975903614,0.25
leaf,i,3,0.0933734939759,0.25
leaf,i,3,0.0873493975904,0.25
leaf,i,3,0.0843373493976,0.25
leaf,i,3,0.0813253012048,0.25
leaf,i,3,0.078313253012,0.25
leaf,i,3,0.0722891566265,0.25
leaf,i,3,0.0692771084337,0.25
leaf,i,3,0.066265060241,0.25
leaf,i,3,0.0632530120482,0.25
leaf,i,3,0.0602409638554,0.25
leaf,i,3,0.0572289156627,0.25
leaf,i,3,0.0542168674699,0.25
leaf,i,3,0.0481927710843,0.125
leaf,i,3,0.0451807228916,0.125
leaf,i,3,0.0421686746988,0.125
leaf,i,3,0.039156626506,0.125
leaf,i,3,0.0361445783133,0.125
leaf,i,3,0.0331325301205,0.125
leaf,i,3,0.0301204819277,0.125
leaf,i,3,0.0240963855422,0.125
leaf,i,3,0.0210843373494,0.0
leaf,i,3,0.0180722891566,0.0
leaf,i,3,0.0150602409639,0.0
leaf,i,3,0.0120481927711,0.0
leaf,i,3,0.00903614457831,0.0
leaf,i,3,0.00602409638554,0.0
leaf,i,3,0.00301204819277,0.0
leaf,i,4,1.0,1.0
leaf,i,4,0.112804878049,0.0
leaf,i,4,0.109756097561,0.0
leaf,i,4,0.106707317073,0.0
leaf,i,4,0.100609756098,0.0
leaf,i,4,0.094512195122,0.0
leaf,i,4,0.0914634146341,0.0
leaf,i,4,0.0884146341463,0.0
leaf,i,4,0.0853658536585,0.0
leaf,i,4,0.0792682926829,0.0
leaf,i,4,0.0762195121951,0.0
leaf,i,4,0.0731707317073,0.0
leaf,i,4,0.0701219512195,0.0
leaf,i,4,0.0670731707317,0.0
leaf,i,4,0.0640243902439,0.0
leaf,i,4,0.0609756097561,0.0
leaf,i,4,0.0518292682927,0.0
leaf,i,4,0.0487804878049,0.0
leaf,i,4,0.0457317073171,0.0
leaf,i,4,0.0426829268293,0.0
leaf,i,4,0.0396341463415,0.0
leaf,i,4,0.0365853658537,0.0
leaf,i,4,0.0335365853659,0.0
leaf,i,4,0.0274390243902,0.0
leaf,i,4,0.0213414634146,0.0
leaf,i,4,0.0182926829268,0.0
leaf,i,4,0.015243902439,0.0
leaf,i,4,0.0121951219512,0.0
leaf,i,4,0.00914634146341,0.0
leaf,i,4,0.00609756097561,0.0
leaf,i,4,0.0030487804878,0.0
leaf,i,5,1.0,1.0
leaf,i,5,0.111445783133,0.0
leaf,i,5,0.10843373494,0.0
leaf,i,5,0.105421686747,0.0
leaf,i,5,0.0993975903614,0.0
leaf,i,5,0.0933734939759,0.0
leaf,i,5,0.0903614457831,0.0
leaf,i,5,0.0873493975904,0.0
leaf,i,5,0.0843373493976,0.0
leaf,i,5,0.078313253012,0.0
leaf,i,5,0.0753012048193,0.0
leaf,i,5,0.0722891566265,0.0
leaf,i,5,0.0692771084337,0.0
leaf,i,5,0.066265060241,0.0
leaf,i,5,0.0632530120482,0.0
leaf,i,5,0.0602409638554,0.0
leaf,i,5,0.0512048192771,0.0
leaf,i,5,0.0481927710843,0.0
leaf,i,5,0.0451807228916,0.0
leaf,i,5,0.0421686746988,0.0
leaf,i,5,0.039156626506,0.0
leaf,i,5,0.0361445783133,0.0
leaf,i,5,0.0331325301205,0.0
leaf,i,5,0.0271084337349,0.0
leaf,i,5,0.0210843373494,0.0
leaf,i,5,0.0180722891566,0.0
leaf,i,5,0.0150602409639,0.0
leaf,i,5,0.0120481927711,0.0
leaf,i,5,0.00903614457831,0.0
leaf,i,5,0.00602409638554,0.0
leaf,i,5,0.00301204819277,0.0
leaf,i,6,1.0,1.0
leaf,i,6,0.10303030303,0.3
leaf,i,6,0.1,0.3
leaf,i,6,0.0969696969697,0.3
leaf,i,6,0.0909090909091,0.3
leaf,i,6,0.0848484848485,0.3
leaf,i,6,0.0818181818182,0.3
leaf,i,6,0.0787878787879,0.3
