name, method, class, balanced_accuracy
leaf,i,1,0.591463414634
leaf,i,2,0.542424242424
leaf,i,3,0.592424242424
leaf,i,4,0.495481927711
leaf,i,5,0.697662601626
leaf,i,6,0.803463855422
leaf,i,7,0.592424242424
leaf,i,8,0.953025697707
leaf,i,9,0.517309377739
leaf,i,10,0.681604328393
leaf,i,11,0.904706790123
leaf,i,12,0.483231707317
leaf,i,13,0.595506939544
leaf,i,14,0.609756097561
leaf,i,15,0.94696969697
leaf,i,22,0.571138211382
leaf,i,23,0.675739154463
leaf,i,24,0.667842860503
leaf,i,25,0.765693185633
leaf,i,26,0.537093495935
leaf,i,27,0.719673943078
leaf,i,28,0.611280487805
leaf,i,29,0.569613821138
leaf,i,30,0.530995934959
leaf,i,31,0.815142304504
leaf,i,32,0.718154186239
leaf,i,33,0.578751036198
leaf,i,34,0.94846642719
leaf,i,35,0.802984249793
leaf,i,36,0.89696969697
leaf,g,1,0.787093495935
leaf,g,2,0.586363636364
leaf,g,3,0.742424242424
leaf,g,4,0.609939759036
leaf,g,5,0.953760162602
leaf,g,6,0.746987951807
leaf,g,7,0.689393939394
leaf,g,8,0.863636363636
leaf,g,9,0.706617002629
leaf,g,10,0.88155728064
leaf,g,11,0.904706790123
leaf,g,12,0.827235772358
leaf,g,13,0.681604328393
leaf,g,14,0.787093495935
leaf,g,15,0.895454545455
leaf,g,22,0.659044715447
leaf,g,23,0.85907709312
leaf,g,24,0.570806868972
leaf,g,25,0.827291037261
leaf,g,26,0.654471544715
leaf,g,27,0.757529704338
leaf,g,28,0.858231707317
leaf,g,29,0.913617886179
leaf,g,30,0.873475609756
leaf,g,31,0.818181818182
leaf,g,32,0.57571152252
leaf,g,33,0.624205581652
leaf,g,34,0.992401215805
leaf,g,35,0.765128488533
leaf,g,36,0.892424242424
